Gmt time,"     Open","   High","   Low","   Close"," Open-target","High-target","Low-target","Close-taget"
"17.05.2010 ","1.23545","1.24134","1.22373","1.23813","1.23823","1.24436","1.21444","1.21457"
"18.05.2010 ","1.23823","1.24436","1.21444","1.21457","1.21435","1.24304","1.21429","1.23839"
"19.05.2010 ","1.21435","1.24304","1.21429","1.23839","1.23837","1.25969","1.22951","1.25375"
"20.05.2010 ","1.23837","1.25969","1.22951","1.25375","1.25385","1.26704","1.24689","1.25727"
"21.05.2010 ","1.25385","1.26704","1.24689","1.25727","1.25727","1.25727","1.25727","1.25727"
"22.05.2010 ","1.25727","1.25727","1.25727","1.25727","1.25667","1.25667","1.25059","1.25109"
"23.05.2010 ","1.25667","1.25667","1.25059","1.25109","1.25108","1.25374","1.23290","1.23379"
"24.05.2010 ","1.25108","1.25374","1.23290","1.23379","1.23378","1.23870","1.21747","1.23315"
"25.05.2010 ","1.23378","1.23870","1.21747","1.23315","1.23294","1.23433","1.21498","1.21814"
"26.05.2010 ","1.23294","1.23433","1.21498","1.21814","1.21814","1.23936","1.21795","1.23653"
"27.05.2010 ","1.21814","1.23936","1.21795","1.23653","1.23658","1.24518","1.22612","1.22789"
"28.05.2010 ","1.23658","1.24518","1.22612","1.22789","1.22789","1.22789","1.22789","1.22789"
"29.05.2010 ","1.22789","1.22789","1.22789","1.22789","1.22748","1.22923","1.22568","1.22874"
"30.05.2010 ","1.22748","1.22923","1.22568","1.22874","1.22872","1.23335","1.22648","1.22701"
"31.05.2010 ","1.22872","1.23335","1.22648","1.22701","1.22701","1.23521","1.21080","1.22444"
"01.06.2010 ","1.22701","1.23521","1.21080","1.22444","1.22451","1.22718","1.21741","1.22486"
"02.06.2010 ","1.22451","1.22718","1.21741","1.22486","1.22494","1.23263","1.21492","1.21745"
"03.06.2010 ","1.22494","1.23263","1.21492","1.21745","1.21773","1.22146","1.19536","1.19650"
"04.06.2010 ","1.21773","1.22146","1.19536","1.19650","1.19650","1.19650","1.19650","1.19650"
"05.06.2010 ","1.19650","1.19650","1.19650","1.19650","1.19602","1.19649","1.19221","1.19281"
